Address,Bedrooms,Bathrooms,Parking Spots,Study,Area in m²,Price
"24/1 Brushbox Street,Sydney Olympic Park NSW 2127",4,3,2,0,-,2140000
"1901/11 Australia Avenue,Sydney Olympic Park NSW 2127",3,2,2,0,180,1210000
"1510/7 Australia Ave,Sydney Olympic Park NSW 2127",2,1,1,1,-,709000
"804/7 Australia Avenue, Sydney Olympic Park, NSW 2127",1,1,1,1,-,-
"201/1 Brushbox Street,Sydney Olympic Park NSW 2127",2,2,1,1,113,815000
"3 Olympic Boulevard,Sydney Olympic Park NSW 2127",2,2,1,0,-,-
"Unit 206/11 Australia Ave,Sydney Olympic Park NSW 2127",2,2,1,0,-,708000
"413/2 Betty Cuthbert Avenue,Sydney Olympic Park NSW 2127",1,1,1,0,79,-
"406/11 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,1,107,680000
"1606/11 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,0,148,799000
"1101/9 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,1,-,803000
"20606/2B Figtree Drive,Sydney Olympic Park NSW 2127",1,1,1,1,89,645000
"802/9 Australia Avenue,Sydney Olympic Park NSW 2127",2,1,1,0,99,617500
"427/2A Betty Cuthbert Avenue,Sydney Olympic Park NSW 2127",1,1,1,1,-,602000
"1013/7 Australia ave,Sydney Olympic Park NSW 2127",2,2,1,1,-,675000
"1107/11 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,0,-,689000
"702/9 Australia Avenue,Sydney Olympic Park NSW 2127",2,1,1,0,-,650000
"809/7 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,1,0,-,492000
"2306/3 Olympic Blvd,Sydney Olympic Park NSW 2127",1,1,1,1,-,600000
"1504/7 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,1,1,-,600000
"1710/1 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,0,-,740000
"541/1 Betty Cuthbert Avenue, Sydney Olympic Park, NSW 2127",1,1,1,1,76,-
"202/9 Australia Ave, Sydney Olympic Park",2,1,1,0,99,660000
"811/1 Australia, Sydney Olympic Park",2,1,1,1,79,640000
"1002/11 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,0,121,770000
"2004/7 Australia Ave, Sydney Olympic Park",1,1,1,1,-,630000
"10905/2 Figtree Ave,Sydney Olympic Park NSW 2127",1,1,1,0,-,628000
"Address available on request, Sydney Olympic Park",2,2,1,0,-,-
"10805/2A Figtree Drive,Sydney Olympic Park NSW 2127",1,1,0,0,-,550000
"2308/7 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,0,-,793000
"1501/11 Australia Ave.,Sydney Olympic Park NSW 2127",3,2,2,0,-,1270000
"C2004/7 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,1,1,83,655000
"321/2 Betty Cuthbert Avenue,Sydney Olympic Park NSW 2127",2,2,1,1,-,752000
"2408/7 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,2,0,-,1000000
"1609/7 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,1,-,640000
"1411/7 Australia Ave.,Sydney Olympic Park NSW 2127",2,2,1,0,-,775000
"704/1 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,1,0,-,575000
"1602/7 Australia Avenue, Sydney Olympic Park, NSW 2127",1,1,1,1,90,580000
"10906/2A Figtree Drive, Sydney Olympic Park, NSW 2127",1,1,0,1,61,-
"2011/7 Australia Ave,Sydney Olympic Park NSW 2127",2,2,1,0,91,670000
"1508/1 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,0,107,670000
"1505/9 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,0,-,970000
"2202/7 Australia Avenue, Sydney Olympic Park",1,1,1,1,90,589000
"1602/7 Australia Avenue, Sydney Olympic Park, NSW 2127",1,1,1,0,90,575000
"1205/11 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,1,0,-,493000
"Level 10/9 Australia Avenue,Sydney Olympic Park NSW 2127",2,1,1,0,-,-
"305/9 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,1,1,-,585000
"22409/2B Figtree Drive, Sydney Olympic Park, NSW 2127",2,2,1,1,109,-
"2507/3 Olympic Boulevard, Sydney Olympic Park",2,2,1,0,-,-
"647/1 Betty Cuthbert Avenue,Sydney Olympic Park NSW 2127",2,2,1,1,-,715000
"908/7 Australia Avenue, Sydney Olympic Park, NSW 2127",2,2,1,1,-,-
"358/1C Betty Cuthbert Avenue,Sydney Olympic Park NSW 2127",2,2,1,1,-,820000
"7 Australia Avenue,Sydney Olympic Park NSW 2127",4,2,2,1,-,1220000
"901/1 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,1,99,681000
"1611/1 Australia Avenue,Sydney Olympic Park NSW 2127",2,1,1,0,-,718000
"2601/1 Australia Avenue,Sydney Olympic Park NSW 2127",4,3,2,0,-,1910000
"1204/7 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,1,1,82,535000
"409/7 Australia Ave,Sydney Olympic Park NSW 2127",1,1,1,0,-,520000
"2305/11 Australia Avenue,Sydney Olympic Park NSW 2127",3,2,2,0,147,1000000
"106/6 Betty Cuthbert Avenue, Sydney Olympic Park",1,1,1,1,79,-
"3701/3 Olympic Boulevard, Sydney Olympic Park",4,3,2,0,207,-
"C208/7 Australia Ave,Sydney Olympic Park NSW 2127",2,2,1,1,-,-
"1001/11 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,1,0,74,572000
"1113/7 Austalia Ave, Sydney Olympic Park, NSW 2127",2,2,1,1,-,-
"1701/11 Australia Avenue,Sydney Olympic Park NSW 2127",3,2,1,0,-,1240000
"2507/3 Olympic Boulevard,Sydney Olympic Park NSW 2127",2,2,1,0,-,-
"1 Australia Avenue,Sydney Olympic Park NSW 2127",2,1,1,0,-,670000
1804/1 Sydney Olympic Park NSW 2127,1,1,0,0,-,645000
"2805/1 Australia Ave,Sydney Olympic Park NSW 2127",2,2,1,0,-,738000
"20810/2B Figtree Drive, Sydney Olympic Park, NSW 2127",2,2,1,0,94,-
"106/6 Betty Cuthbert Avenue, Sydney Olympic Park, NSW 2127",1,1,1,1,79,-
"Unit 1203/7 Australia Ave,Sydney Olympic Park NSW 2127",2,1,1,1,-,650000
"Address available on request, Sydney Olympic Park",2,2,1,0,-,-
"733/1A Betty Cuthbert Avenue,Sydney Olympic Park NSW 2127",2,2,1,1,-,800000
"2007/7 Australia Avenue,Sydney Olympic Park NSW 2127",3,2,2,0,-,1255000
"541/1 Betty Cuthbert Avenue, Sydney Olympic Park, NSW 2127",1,1,1,1,76,-
"1210/1 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,0,109,680000
"506/11 Australia Ave,Sydney Olympic Park NSW 2127",2,2,1,1,-,680000
"20810/2B Figtree Drive, Sydney Olympic Park",2,2,1,1,94,1120000
"Lot 68/2 Figtree Drive,Sydney Olympic Park NSW 2127",2,2,1,0,90,1027000
"706/11 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,0,-,655000
"21706/2B Figtree Drive,Sydney Olympic Park NSW 2127",1,1,0,2,-,540000
"238/1. Betty Cuthbert Avenue, Sydney Olympic Park",3,2,2,1,153,968000
"304/1 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,1,1,-,506500
"107/11 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,1,0,-,585000
"801/7 Australia Avenue,Sydney Olympic Park NSW 2127",2,1,1,0,-,710000
"1501/11 Australia Ave,Sydney Olympic Park NSW 2127",3,2,2,0,-,957500
"804/7 Australia Avenue, Sydney Olympic Park, NSW 2127",1,1,1,1,-,-
"804/7 Australia Avenue, Sydney Olympic Park",1,1,1,0,-,-
"305/7 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,1,1,81,516000
"1006/1 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,1,-,730000
"1407/7 Australia Avenue,Sydney Olympic Park NSW 2127",3,2,2,0,-,1188000
"1201/9 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,0,-,680000
"1407/11 Australia Ave,Sydney Olympic Park NSW 2127",2,2,1,0,-,815000
"2212/1 Brushbox Street,Sydney Olympic Park NSW 2127",3,2,2,1,-,1110000
"411/2 Betty Cuthbert Avenue,Sydney Olympic Park NSW 2127",1,1,1,0,76,567000
"1801/11 Australia Avenue,Sydney Olympic Park NSW 2127",3,2,2,0,-,1350000
"2707/1 Australia Avenue, Sydney Olympic Park, NSW 2127",3,2,2,1,183,1150000
"1001/7 Australia Ave, Sydney Olympic Park",2,2,1,0,123,680000
"207/9 Australia Avenue, Sydney Olympic Park",1,1,1,0,-,-
"2212/7 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,1,0,55,540000
"1203/9 Australia Avenue, Sydney Olympic Park",2,2,1,0,124,-
"C2411/7 Australian Ave,Sydney Olympic Park NSW 2127",2,2,1,0,-,794000
"602/11 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,1,1,-,534000
"1407/7 Austraia Ave,Sydney Olympic Park NSW 2127",3,2,2,0,-,1057000
"1711/7 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,0,-,675000
"101/1 Australia Avenue, Sydney Olympic Park NSW 2127",1,1,1,0,-,620000
"802/11 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,1,-,750000
"551/1c Betty Cuthbert Avenue,Sydney Olympic Park NSW 2127",3,2,2,0,-,925000
